US Wireless Competitive Analysis — Postpaid Phone KPIs (Quarterly)
Source: Company Earnings Releases (Verizon / T-Mobile / AT&T) — Q1 2023 through Q4 2024
Metric definitions below table. Figures are approximate.

WIRELESS SERVICE REVENUE ($B)
Quarter,Verizon,T-Mobile,AT&T
Q1 2023,18.97,15.49,14.87
Q2 2023,19.19,15.86,15.06
Q3 2023,19.37,16.17,15.27
Q4 2023,19.48,16.36,15.37
Q1 2024,19.51,16.52,15.48
Q2 2024,19.74,16.70,15.73
Q3 2024,19.77,16.78,15.96
Q4 2024,20.03,16.89,16.65

POSTPAID PHONE NET ADDS (thousands)
Quarter,Verizon,T-Mobile,AT&T
Q1 2023,-127,526,402
Q2 2023,-36,760,326
Q3 2023,-49,850,425
Q4 2023,-68,934,526
Q1 2024,-68,532,349
Q2 2024,-83,778,617
Q3 2024,-102,865,403
Q4 2024,-51,903,827

POSTPAID PHONE SUBSCRIBERS — END OF PERIOD (millions)
Quarter,Verizon,T-Mobile,AT&T
Q1 2023,91.2,76.1,82.5
Q2 2023,91.2,76.9,82.8
Q3 2023,91.1,77.7,83.3
Q4 2023,91.0,78.6,83.8
Q1 2024,90.9,79.1,84.1
Q2 2024,90.9,79.9,84.8
Q3 2024,90.8,80.7,85.2
Q4 2024,90.7,81.6,86.0

POSTPAID PHONE CHURN (%)
Quarter,Verizon,T-Mobile,AT&T
Q1 2023,0.87,0.84,0.80
Q2 2023,0.88,0.83,0.77
Q3 2023,0.87,0.82,0.80
Q4 2023,0.88,0.87,0.83
Q1 2024,0.89,0.86,0.82
Q2 2024,0.87,0.87,0.77
Q3 2024,0.87,0.88,0.79
Q4 2024,0.89,0.86,0.78

POSTPAID PHONE ARPU ($)
Quarter,Verizon,T-Mobile,AT&T
Q1 2023,55.83,47.44,55.03
Q2 2023,56.13,47.84,55.39
Q3 2023,56.21,48.24,55.59
Q4 2023,56.54,48.83,55.62
Q1 2024,56.69,49.20,55.78
Q2 2024,56.89,49.45,56.04
Q3 2024,56.88,49.63,56.30
Q4 2024,57.26,49.78,56.28

---
METRIC DEFINITIONS
Wireless Service Revenue: Total wireless service revenue reported by segment (Verizon Consumer + Business wireless; T-Mobile total wireless service; AT&T Mobility service revenue). Excludes equipment/device revenue.
Postpaid Phone Net Adds: Net change in postpaid phone subscribers for the period (new activations minus deactivations/churned). Phone lines only; excludes tablets, wearables, and other connected devices.
Postpaid Phone Subscribers: Total postpaid phone connections at end of reporting period. Phone lines only.
Postpaid Phone Churn: Monthly postpaid phone churn rate (%). Calculated as disconnected phone lines / average phone lines in period.
Postpaid Phone ARPU: Average Revenue Per User per month for postpaid phone subscribers. Calculated as postpaid phone service revenue / average postpaid phone connections.

DATA SOURCES
Verizon: Investor Relations — https://www.verizon.com/about/investors
T-Mobile: Investor Relations — https://investor.t-mobile.com
AT&T: Investor Relations — https://investors.att.com
